,name,year_start,year_end,position,height,weight,height_in_meters
285,Jonathan Bender,2000,2010,F,6-11,202.0,2.1082
286,Jerrelle Benimon,2015,2015,F,6-8,245.0,2.032
287,Benoit Benjamin,1986,2000,C,7-0,250.0,2.1336
288,Corey Benjamin,1999,2003,G,6-6,200.0,1.9812000000000003
289,Anthony Bennett,2014,2017,F,6-8,245.0,2.032
290,Elmer Bennett,1995,1997,G,6-0,170.0,1.8288000000000002
291,Mario Bennett,1996,2000,F,6-6,235.0,1.9812000000000003
292,Mel Bennett,1976,1982,F,6-7,200.0,2.0066
293,Spider Bennett,1969,1969,G,6-3,190.0,1.9050000000000002
294,Tony Bennett,1993,1995,G,6-0,175.0,1.8288000000000002
295,Winston Bennett,1990,1992,F,6-7,210.0,2.0066
296,David Benoit,1992,2001,F,6-8,220.0,2.032
297,Keith Benson,2012,2012,C,6-11,240.0,2.1082
298,Kent Benson,1978,1988,C,6-10,235.0,2.0828
299,Ben Bentil,2017,2017,F,6-9,235.0,2.0574000000000003
300,Gene Berce,1950,1950,G,5-11,175.0,1.8034
301,Gary Bergen,1957,1957,C,6-8,210.0,2.032
302,Larry Bergh,1970,1970,F,6-8,210.0,2.032
303,Ricky Berry,1989,1989,F,6-8,205.0,2.032
304,Walter Berry,1987,1989,F,6-8,215.0,2.032
305,Davis Bertans,2017,2018,F,6-10,210.0,2.0828
306,Del Beshore,1979,1980,G,5-11,165.0,1.8034
307,Travis Best,1996,2005,G,5-11,182.0,1.8034
308,Patrick Beverley,2013,2018,G,6-1,185.0,1.8542000000000003
309,Sim Bhullar,2015,2015,C,7-5,360.0,2.2606
310,Wesley Bialosuknia,1968,1968,G,6-2,185.0,1.8796000000000002
311,Al Bianchi,1957,1966,G,6-3,185.0,1.9050000000000002
312,Hank Biasatti,1947,1947,G,5-11,175.0,1.8034
313,Henry Bibby,1973,1981,G,6-1,185.0,1.8542000000000003
314,Mike Bibby,1999,2012,G,6-1,190.0,1.8542000000000003
