,name,year_start,year_end,position,height,weight,height_in_meters
844,John Crotty,1993,2003,G,6-1,185.0,1.8542000000000003
845,Bill Crow,1968,1968,G,6-1,180.0,1.8542000000000003
846,Mark Crow,1978,1978,F,6-7,210.0,2.0066
847,Corey Crowder,1992,1995,G,6-5,214.0,1.9558000000000002
848,Jae Crowder,2013,2018,F,6-6,235.0,1.9812000000000003
849,Al Cueto,1970,1971,C,6-7,230.0,2.0066
850,Pat Cummings,1980,1991,F,6-9,230.0,2.0574000000000003
851,Terry Cummings,1983,2000,F,6-9,220.0,2.0574000000000003
852,Vonteego Cummings,2000,2002,G,6-3,185.0,1.9050000000000002
853,Billy Cunningham,1966,1976,F,6-6,210.0,1.9812000000000003
854,Dante Cunningham,2010,2018,F,6-8,230.0,2.032
855,Dick Cunningham,1969,1975,C,6-10,245.0,2.0828
856,Jared Cunningham,2013,2016,G,6-4,195.0,1.9304000000000001
857,William Cunningham,1998,1999,C,6-11,250.0,2.1082
858,Radisav Curcic,1993,1993,C,6-10,275.0,2.0828
859,Armand Cure,1947,1947,F,6-0,198.0,1.8288000000000002
860,Earl Cureton,1981,1997,F,6-9,210.0,2.0574000000000003
861,Bill Curley,1995,2001,F,6-9,220.0,2.0574000000000003
862,Fran Curran,1949,1950,G,6-0,175.0,1.8288000000000002
863,Dell Curry,1987,2002,G,6-4,190.0,1.9304000000000001
864,Eddy Curry,2002,2013,C,7-0,295.0,2.1336
865,JamesOn Curry,2010,2010,G,6-3,190.0,1.9050000000000002
866,Michael Curry,1994,2005,F,6-5,210.0,1.9558000000000002
867,Seth Curry,2014,2017,G,6-2,185.0,1.8796000000000002
868,Stephen Curry,2010,2018,G,6-3,190.0,1.9050000000000002
869,Rastko Cvetkovic,1996,1996,C,7-1,260.0,2.159
870,Mike D'Antoni,1974,1977,G,6-3,185.0,1.9050000000000002
871,Mike Dabich,1968,1968,C,7-0,242.0,2.1336
872,Ed Dahler,1952,1952,F,6-5,190.0,1.9558000000000002
873,Quintin Dailey,1983,1992,G,6-3,180.0,1.9050000000000002
874,Samuel Dalembert,2002,2015,C,6-11,255.0,2.1082
875,Howie Dallmar,1947,1949,F,6-4,200.0,1.9304000000000001
876,Erick Dampier,1997,2012,C,6-11,265.0,2.1082
877,Louie Dampier,1968,1979,G,6-0,170.0,1.8288000000000002
878,Bob Dandridge,1970,1982,F,6-6,195.0,1.9812000000000003
879,Antonio Daniels,1998,2011,G,6-4,195.0,1.9304000000000001
880,Erik Daniels,2005,2005,F,6-8,214.0,2.032
881,Lloyd Daniels,1993,1998,G,6-7,205.0,2.0066
882,Marquis Daniels,2004,2013,G,6-6,200.0,1.9812000000000003
883,Mel Daniels,1968,1977,C,6-9,220.0,2.0574000000000003
884,Troy Daniels,2014,2018,G,6-4,205.0,1.9304000000000001
885,Sasha Danilovic,1996,1997,G,6-5,200.0,1.9558000000000002
886,Adrian Dantley,1977,1991,F,6-5,208.0,1.9558000000000002
887,Pete Darcey,1953,1953,C,6-7,217.0,2.0066
888,Jimmy Darden,1950,1950,G,6-1,170.0,1.8542000000000003
889,Ollie Darden,1968,1970,F,6-7,235.0,2.0066
890,Yinka Dare,1995,1998,C,7-0,265.0,2.1336
891,Jesse Dark,1975,1975,G,6-5,210.0,1.9558000000000002
892,Rick Darnell,1976,1976,C,6-10,215.0,2.0828
893,Jimmy Darrow,1962,1962,G,5-10,170.0,1.778
894,Luigi Datome,2014,2015,F,6-8,215.0,2.032
895,Brad Daugherty,1987,1994,C,7-0,245.0,2.1336
896,Mack Daughtry,1971,1971,G,6-3,175.0,1.9050000000000002
897,Kornel David,1999,2001,F,6-9,235.0,2.0574000000000003
898,Jermareo Davidson,2008,2009,F,6-10,230.0,2.0828
899,Bob Davies,1949,1955,G,6-1,175.0,1.8542000000000003
900,Brandon Davies,2014,2015,F,6-10,240.0,2.0828
901,Anthony Davis,2013,2018,F,6-10,253.0,2.0828
902,Antonio Davis,1994,2006,F,6-9,215.0,2.0574000000000003
903,Aubrey Davis,1947,1947,G,6-2,175.0,1.8796000000000002
904,Baron Davis,2000,2012,G,6-3,209.0,1.9050000000000002
905,Ben Davis,1997,2000,F,6-9,240.0,2.0574000000000003
906,Bill Davis,1947,1947,F,6-3,215.0,1.9050000000000002
907,Bob Davis,1973,1973,F,6-7,215.0,2.0066
908,Brad Davis,1978,1992,G,6-3,180.0,1.9050000000000002
909,Brian Davis,1994,1994,F,6-7,200.0,2.0066
910,Charles Davis,1982,1990,F,6-7,215.0,2.0066
911,Charlie Davis,1972,1974,G,6-2,160.0,1.8796000000000002
912,Dale Davis,1992,2007,F,6-11,230.0,2.1082
913,Deyonta Davis,2017,2018,F,6-11,237.0,2.1082
914,Dwight Davis,1973,1977,F,6-8,220.0,2.032
915,Ed Davis,2011,2018,F,6-10,240.0,2.0828
916,Emanual Davis,1997,2003,G,6-4,195.0,1.9304000000000001
917,Glen Davis,2008,2015,F,6-9,289.0,2.0574000000000003
918,Harry Davis,1979,1980,F,6-7,220.0,2.0066
919,Hubert Davis,1993,2004,G,6-5,183.0,1.9558000000000002
920,Jim Davis,1968,1975,C,6-9,225.0,2.0574000000000003
921,Johnny Davis,1977,1986,G,6-2,170.0,1.8796000000000002
922,Josh Davis,2004,2012,F,6-8,235.0,2.032
923,Lee Davis,1969,1976,C,6-8,235.0,2.032
924,Mark Davis,1989,1989,F,6-6,195.0,1.9812000000000003
925,Mark Davis,1996,2000,G,6-7,210.0,2.0066
926,Mel Davis,1974,1977,F,6-6,220.0,1.9812000000000003
927,Mickey Davis,1972,1977,F,6-7,195.0,2.0066
928,Mike Davis,1970,1973,G,6-3,185.0,1.9050000000000002
929,Mike Davis,1983,1983,F,6-10,230.0,2.0828
930,Monti Davis,1981,1981,F,6-7,205.0,2.0066
931,Paul Davis,2007,2010,C,6-11,270.0,2.1082
932,Ralph Davis,1961,1962,G,6-4,180.0,1.9304000000000001
933,Red Davis,1956,1956,C,6-7,220.0,2.0066
934,Ricky Davis,1999,2010,G,6-6,195.0,1.9812000000000003
935,Ron Davis,1977,1982,G,6-6,198.0,1.9812000000000003
936,Terry Davis,1990,2001,F,6-9,225.0,2.0574000000000003
937,Walt Davis,1954,1958,C,6-8,205.0,2.032
938,Walter Davis,1978,1992,G,6-6,193.0,1.9812000000000003
939,Warren Davis,1968,1973,F,6-6,212.0,1.9812000000000003
940,Willie Davis,1971,1971,C,6-8,234.0,2.032
941,Andre Dawkins,2015,2015,G,6-5,215.0,1.9558000000000002
942,Darryl Dawkins,1976,1989,C,6-11,251.0,2.1082
943,Johnny Dawkins,1987,1995,G,6-2,165.0,1.8796000000000002
944,Paul Dawkins,1980,1980,F,6-5,190.0,1.9558000000000002
945,Branden Dawson,2016,2016,F,6-6,225.0,1.9812000000000003
946,Eric Dawson,2012,2012,F,6-9,250.0,2.0574000000000003
947,Jimmy Dawson,1968,1968,G,6-0,175.0,1.8288000000000002
948,Tony Dawson,1991,1995,F,6-7,215.0,2.0066
949,Todd Day,1993,2001,G,6-6,188.0,1.9812000000000003
950,Austin Daye,2010,2015,F,6-11,220.0,2.1082
951,Darren Daye,1984,1988,F,6-8,220.0,2.032
952,Nando De Colo,2013,2014,G,6-5,200.0,1.9558000000000002
953,Greg Deane,1980,1980,G,6-4,190.0,1.9304000000000001
954,Billy DeAngelis,1971,1971,G,6-1,180.0,1.8542000000000003
955,Dave DeBusschere,1963,1974,F,6-6,220.0,1.9812000000000003
956,Andrew DeClercq,1996,2005,F,6-10,230.0,2.0828
957,Dewayne Dedmon,2014,2018,C,7-0,245.0,2.1336
958,Don Dee,1969,1969,F,6-8,210.0,2.032
959,Archie Dees,1959,1962,F,6-8,205.0,2.032
960,Terry Dehere,1994,1999,G,6-2,190.0,1.8796000000000002
961,Red Dehnert,1947,1947,F,6-3,175.0,1.9050000000000002
962,Bryce Dejean-Jones,2016,2016,G,6-6,209.0,1.9812000000000003
963,Sam Dekker,2016,2018,F,6-9,230.0,2.0574000000000003
964,Vinny Del Negro,1989,2002,G,6-4,185.0,1.9304000000000001
965,Malcolm Delaney,2017,2018,G,6-3,190.0,1.9050000000000002
966,Bison Dele,1992,1999,F,6-9,235.0,2.0574000000000003
967,Carlos Delfino,2005,2013,G,6-6,230.0,1.9812000000000003
968,Tony Delk,1997,2006,G,6-1,189.0,1.8542000000000003
969,Matthew Dellavedova,2014,2018,G,6-4,198.0,1.9304000000000001
970,Nate DeLong,1952,1952,C,6-6,220.0,1.9812000000000003
971,Fennis Dembo,1989,1989,F,6-5,215.0,1.9558000000000002
972,Larry Demic,1980,1982,F,6-9,225.0,2.0574000000000003
973,Dell Demps,1994,1997,G,6-3,205.0,1.9050000000000002
974,George Dempsey,1955,1959,G,6-2,190.0,1.8796000000000002
975,Luol Deng,2005,2018,F,6-9,220.0,2.0574000000000003
976,Kenny Dennard,1982,1984,F,6-8,220.0,2.032
977,Blaine Denning,1953,1953,G,6-2,175.0,1.8796000000000002
978,Justin Dentmon,2012,2013,G,5-11,185.0,1.8034
979,Randy Denton,1972,1977,C,6-10,240.0,2.0828
980,Joe DePre,1971,1973,G,6-3,185.0,1.9050000000000002
981,Rod Derline,1975,1976,G,6-0,175.0,1.8288000000000002
982,DeMar DeRozan,2010,2018,G,6-7,221.0,2.0066
983,Dave Deutsch,1967,1967,G,6-1,170.0,1.8542000000000003
984,Corky Devlin,1956,1958,G,6-5,195.0,1.9558000000000002
985,Hank DeZonie,1951,1951,C,6-6,215.0,1.9812000000000003
986,Derrick Dial,2000,2004,G,6-4,184.0,1.9304000000000001
987,Cheick Diallo,2017,2018,F,6-9,220.0,2.0574000000000003
988,Boris Diaw,2004,2017,F,6-8,250.0,2.032
989,Yakhouba Diawara,2007,2010,G,6-7,225.0,2.0066
990,Guillermo Diaz,2008,2008,G,6-2,192.0,1.8796000000000002
991,Dan Dickau,2003,2008,G,6-0,190.0,1.8288000000000002
992,Kaniel Dickens,2004,2008,F,6-8,215.0,2.032
993,Henry Dickerson,1976,1977,G,6-4,190.0,1.9304000000000001
994,Michael Dickerson,1999,2003,G,6-5,190.0,1.9558000000000002
995,Clyde Dickey,1975,1975,G,6-3,185.0,1.9050000000000002
996,Derrek Dickey,1974,1978,F,6-7,218.0,2.0066
997,Dick Dickey,1952,1952,G,6-1,175.0,1.8542000000000003
998,John Dickson,1968,1968,C,6-10,240.0,2.0828
999,Travis Diener,2006,2010,G,6-1,175.0,1.8542000000000003
1000,Gorgui Dieng,2014,2018,C,6-11,241.0,2.1082
1001,Connie Dierking,1959,1971,C,6-9,222.0,2.0574000000000003
1002,Coby Dietrick,1971,1983,C,6-10,220.0,2.0828
1003,Ernie DiGregorio,1974,1978,G,6-0,180.0,1.8288000000000002
1004,Craig Dill,1968,1968,C,6-11,215.0,2.1082
1005,Dwaine Dillard,1976,1976,F,6-6,230.0,1.9812000000000003
1006,Mickey Dillard,1982,1982,G,6-3,170.0,1.9050000000000002
1007,Bob Dille,1947,1947,F,6-3,190.0,1.9050000000000002
1008,Hook Dillon,1950,1950,F,6-3,180.0,1.9050000000000002
1009,Byron Dinkins,1990,1991,G,6-1,170.0,1.8542000000000003
1010,Jackie Dinkins,1972,1972,F,6-5,210.0,1.9558000000000002
1011,Harry Dinnel,1968,1968,F,6-4,200.0,1.9304000000000001
1012,Bill Dinwiddie,1968,1972,F,6-7,220.0,2.0066
1013,Spencer Dinwiddie,2015,2018,G,6-6,200.0,1.9812000000000003
1014,Ike Diogu,2006,2012,F,6-8,250.0,2.032
1015,DeSagana Diop,2002,2013,C,7-0,300.0,2.1336
1016,Terry Dischinger,1963,1973,F,6-7,189.0,2.0066
1017,Fred Diute,1955,1955,G,6-3,210.0,1.9050000000000002
1018,Vlade Divac,1990,2005,C,7-1,243.0,2.159
1019,Juan Dixon,2003,2009,G,6-3,164.0,1.9050000000000002
1020,Aleksandar Djordjevic,1997,1997,G,6-2,198.0,1.8796000000000002
1021,Earl Dodd,1950,1950,F,6-5,175.0,1.9558000000000002
1022,Michael Doleac,1999,2008,C,6-11,262.0,2.1082
1023,Joe Dolhon,1950,1951,G,6-0,175.0,1.8288000000000002
1024,Bob Doll,1947,1950,F,6-5,195.0,1.9558000000000002
1025,James Donaldson,1981,1995,C,7-2,275.0,2.1844
1026,Bob Donham,1951,1954,G,6-2,190.0,1.8796000000000002
1027,Billy Donovan,1988,1988,G,5-11,171.0,1.8034
1028,Harry Donovan,1950,1950,G,6-2,180.0,1.8796000000000002
1029,Keyon Dooling,2001,2013,G,6-3,196.0,1.9050000000000002
1030,Jacky Dorsey,1978,1981,F,6-7,230.0,2.0066
1031,Joey Dorsey,2009,2015,F,6-8,268.0,2.032
1032,Ron Dorsey,1972,1972,F,6-4,200.0,1.9304000000000001
1033,Tyler Dorsey,2018,2018,G,6-5,183.0,1.9558000000000002
1034,Damyean Dotson,2018,2018,G,6-6,205.0,1.9812000000000003
1035,Quincy Douby,2007,2009,G,6-3,175.0,1.9050000000000002
1036,Bruce Douglas,1987,1987,G,6-3,195.0,1.9050000000000002
1037,John Douglas,1982,1983,G,6-2,170.0,1.8796000000000002
1038,Leon Douglas,1977,1983,C,6-10,230.0,2.0828
1039,Sherman Douglas,1990,2001,G,6-0,180.0,1.8288000000000002
1040,Toney Douglas,2010,2017,G,6-2,195.0,1.8796000000000002
1041,Chris Douglas-Roberts,2009,2015,G,6-7,200.0,2.0066
1042,Sonny Dove,1968,1972,F,6-7,198.0,2.0066
1043,Jerry Dover,1972,1972,G,5-7,155.0,1.7018
1044,Zabian Dowdell,2011,2011,G,6-3,191.0,1.9050000000000002
1045,Bill Downey,1948,1948,C,6-6,210.0,1.9812000000000003
1046,Steve Downing,1974,1975,C,6-8,225.0,2.032
1047,Danny Doyle,1963,1963,F,6-8,200.0,2.032
1048,Terry Dozier,1990,1990,F,6-9,210.0,2.0574000000000003
1049,Goran Dragic,2009,2018,G,6-3,190.0,1.9050000000000002
1050,Zoran Dragic,2015,2015,G,6-5,200.0,1.9558000000000002
1051,Greg Dreiling,1987,1997,C,7-1,250.0,2.159
1052,Bryce Drew,1999,2004,G,6-2,185.0,1.8796000000000002
1053,John Drew,1975,1985,F,6-6,205.0,1.9812000000000003
1054,Larry Drew,1981,1991,G,6-1,170.0,1.8542000000000003
1055,Larry Drew,2015,2015,G,6-2,180.0,1.8796000000000002
1056,Clyde Drexler,1984,1998,G,6-7,210.0,2.0066
1057,Nate Driggers,1997,1997,G,6-5,215.0,1.9558000000000002
1058,Terry Driscoll,1971,1975,F,6-7,215.0,2.0066
1059,Predrag Drobnjak,2002,2005,C,6-11,270.0,2.1082
1060,Ralph Drollinger,1981,1981,C,7-2,250.0,2.1844
1061,Andre Drummond,2013,2018,C,6-11,279.0,2.1082
1062,Dick Duckett,1958,1958,G,6-1,185.0,1.8542000000000003
1063,Kevin Duckworth,1987,1997,C,7-0,275.0,2.1336
1064,Charles Dudley,1973,1979,G,6-2,180.0,1.8796000000000002
1065,Chris Dudley,1988,2003,C,6-11,235.0,2.1082
1066,Jared Dudley,2008,2018,F,6-7,225.0,2.0066
1067,Terry Duerod,1980,1983,G,6-2,180.0,1.8796000000000002
1068,Bob Duffy,1947,1947,F,6-4,175.0,1.9304000000000001
1069,Bob Duffy,1963,1965,G,6-3,185.0,1.9050000000000002
1070,Chris Duhon,2005,2013,G,6-1,185.0,1.8542000000000003
1071,Duje Dukan,2016,2016,F,6-9,220.0,2.0574000000000003
1072,Walter Dukes,1956,1963,C,7-0,220.0,2.1336
1073,Joe Dumars,1986,1999,G,6-3,190.0,1.9050000000000002
1074,Rich Dumas,1969,1969,G,6-3,170.0,1.9050000000000002
1075,Richard Dumas,1993,1996,F,6-7,200.0,2.0066
1076,Tony Dumas,1995,1998,G,6-6,190.0,1.9812000000000003
1077,Andy Duncan,1949,1951,F,6-6,195.0,1.9812000000000003
1078,Tim Duncan,1998,2016,F,6-11,250.0,2.1082
1079,Mike Dunleavy,1977,1990,G,6-3,180.0,1.9050000000000002
1080,Mike Dunleavy,2003,2017,F,6-9,230.0,2.0574000000000003
1081,Kris Dunn,2017,2018,G,6-4,210.0,1.9304000000000001
1082,Pat Dunn,1958,1958,G,6-2,170.0,1.8796000000000002
1083,T.R. Dunn,1978,1991,G,6-4,192.0,1.9304000000000001
1084,Ronald Dupree,2004,2011,F,6-7,209.0,2.0066
1085,Kevin Durant,2008,2018,F,6-9,240.0,2.0574000000000003
1086,John Duren,1981,1983,G,6-3,195.0,1.9050000000000002
1087,Jarrett Durham,1972,1972,F,6-5,188.0,1.9558000000000002
1088,Pat Durham,1993,1995,F,6-7,210.0,2.0066
1089,Devin Durrant,1985,1986,F,6-7,200.0,2.0066
1090,Ken Durrett,1972,1975,F,6-7,190.0,2.0066
1091,Dennis DuVal,1975,1976,G,6-3,175.0,1.9050000000000002
1092,Jack Dwan,1949,1949,F,6-4,200.0,1.9304000000000001
1093,Craig Dykema,1982,1982,F,6-8,190.0,2.032
1094,Gene Dyker,1954,1954,F,6-6,225.0,1.9812000000000003
1095,Jerome Dyson,2012,2012,G,6-3,180.0,1.9050000000000002
1096,Ledell Eackles,1989,1998,G,6-5,220.0,1.9558000000000002
1097,Jim Eakins,1969,1978,C,6-11,215.0,2.1082
1098,Acie Earl,1994,1997,F,6-10,240.0,2.0828
1099,Ed Earle,1954,1954,F,6-3,190.0,1.9050000000000002
1100,Cleanthony Early,2015,2016,F,6-8,210.0,2.032
1101,Penny Early,1969,1969,G,5-3,114.0,1.6002
1102,Mark Eaton,1983,1993,C,7-4,275.0,2.2352
1103,Jerry Eaves,1983,1987,G,6-4,180.0,1.9304000000000001
1104,Devin Ebanks,2011,2013,F,6-9,215.0,2.0574000000000003
1105,Bill Ebben,1958,1958,G,6-4,190.0,1.9304000000000001
1106,Al Eberhard,1975,1978,F,6-6,225.0,1.9812000000000003
1107,Ndudi Ebi,2004,2005,F,6-9,200.0,2.0574000000000003
1108,Roy Ebron,1974,1974,C,6-9,220.0,2.0574000000000003
1109,Jarell Eddie,2016,2017,G,6-7,218.0,2.0066
1110,Patrick Eddie,1992,1992,C,6-11,240.0,2.1082
1111,Dike Eddleman,1950,1953,F,6-3,189.0,1.9050000000000002
1112,Kenton Edelin,1985,1985,F,6-8,205.0,2.032
1113,Charles Edge,1974,1975,F,6-6,210.0,1.9812000000000003
1114,Bobby Edmonds,1968,1970,F,6-6,220.0,1.9812000000000003
1115,Keith Edmonson,1983,1984,G,6-5,195.0,1.9558000000000002
1116,Tyus Edney,1996,2001,G,5-10,152.0,1.778
1117,Bill Edwards,1994,1994,F,6-8,215.0,2.032
1118,Blue Edwards,1990,1999,G,6-4,200.0,1.9304000000000001
1119,Corsley Edwards,2005,2005,F,6-9,275.0,2.0574000000000003
1120,Doug Edwards,1994,1996,F,6-7,220.0,2.0066
1121,Franklin Edwards,1982,1988,G,6-1,170.0,1.8542000000000003
1122,James Edwards,1978,1996,C,7-0,225.0,2.1336
1123,Jay Edwards,1990,1990,G,6-4,185.0,1.9304000000000001
1124,John Edwards,2005,2006,C,7-0,275.0,2.1336
1125,Kevin Edwards,1989,2001,G,6-3,190.0,1.9050000000000002
1126,Shane Edwards,2014,2014,F,6-7,220.0,2.0066
1127,Johnny Egan,1962,1972,G,5-11,180.0,1.8034
1128,Lonnie Eggleston,1949,1949,G,6-0,170.0,1.8288000000000002
1129,Bulbs Ehlers,1948,1949,F,6-3,198.0,1.9050000000000002
1130,Craig Ehlo,1984,1997,G,6-6,180.0,1.9812000000000003
1131,Rich Eichhorst,1962,1962,G,6-3,200.0,1.9050000000000002
1132,Howard Eisley,1995,2006,G,6-2,177.0,1.8796000000000002
1133,Obinna Ekezie,2000,2005,F,6-9,270.0,2.0574000000000003
1134,Khalid El-Amin,2001,2001,G,5-10,200.0,1.778
1135,Don Eliason,1947,1947,F,6-2,210.0,1.8796000000000002
1136,Mario Elie,1991,2001,G,6-5,210.0,1.9558000000000002
1137,Ray Ellefson,1949,1951,C,6-8,230.0,2.032
1138,Henry Ellenson,2017,2018,F,6-11,245.0,2.1082
1139,Wayne Ellington,2010,2018,G,6-4,200.0,1.9304000000000001
1140,Bob Elliott,1979,1981,C,6-9,225.0,2.0574000000000003
1141,Sean Elliott,1990,2001,F,6-8,205.0,2.032
1142,Bo Ellis,1978,1980,F,6-9,197.0,2.0574000000000003
1143,Boo Ellis,1959,1960,F,6-5,185.0,1.9558000000000002
1144,Dale Ellis,1984,2000,G,6-7,205.0,2.0066
1145,Harold Ellis,1994,1998,G,6-5,200.0,1.9558000000000002
1146,Joe Ellis,1967,1974,F,6-6,175.0,1.9812000000000003
1147,LaPhonso Ellis,1993,2003,F,6-8,240.0,2.032
1148,LeRon Ellis,1992,1996,F,6-9,225.0,2.0574000000000003
1149,Leroy Ellis,1963,1976,C,6-10,210.0,2.0828
1150,Monta Ellis,2006,2017,G,6-3,185.0,1.9050000000000002
1151,Pervis Ellison,1990,2001,F,6-9,210.0,2.0574000000000003
1152,Len Elmore,1975,1984,C,6-9,220.0,2.0574000000000003
1153,Francisco Elson,2004,2012,C,7-0,235.0,2.1336
1154,Darrell Elston,1975,1977,G,6-4,190.0,1.9304000000000001
1155,Melvin Ely,2003,2014,C,6-10,260.0,2.0828
1156,Joel Embiid,2017,2018,C,7-0,250.0,2.1336
1157,Wayne Embry,1959,1969,C,6-8,240.0,2.032
1158,Andre Emmett,2005,2012,F,6-5,230.0,1.9558000000000002
1159,Ned Endress,1947,1947,F,6-2,200.0,1.8796000000000002
1160,Chris Engler,1983,1988,C,6-11,245.0,2.1082
1161,Wayne Englestad,1989,1989,F,6-8,245.0,2.032
1162,A.J. English,1991,1992,G,6-3,175.0,1.9050000000000002
1163,Alex English,1977,1991,F,6-7,190.0,2.0066
1164,Claude English,1971,1971,F,6-4,185.0,1.9304000000000001
1165,Jo Jo English,1993,1995,G,6-4,195.0,1.9304000000000001
1166,Kim English,2013,2013,G,6-6,200.0,1.9812000000000003
1167,Scott English,1973,1975,F,6-6,205.0,1.9812000000000003
1168,Gene Englund,1950,1950,F,6-5,205.0,1.9558000000000002
1169,James Ennis,2015,2018,F,6-7,210.0,2.0066
1170,Tyler Ennis,2015,2018,G,6-3,194.0,1.9050000000000002
1171,Ray Epps,1979,1979,F,6-6,195.0,1.9812000000000003
1172,Semih Erden,2011,2012,C,7-0,240.0,2.1336
1173,Bo Erias,1958,1958,F,6-3,220.0,1.9050000000000002
1174,Keith Erickson,1966,1977,F,6-5,195.0,1.9558000000000002
1175,Julius Erving,1972,1987,F,6-7,210.0,2.0066
1176,Evan Eschmeyer,2000,2003,C,6-11,255.0,2.1082
1177,Jack Eskridge,1949,1949,C,6-5,200.0,1.9558000000000002
1178,Vincenzo Esposito,1996,1996,G,6-3,198.0,1.9050000000000002
1179,Billy Evans,1970,1970,G,6-0,170.0,1.8288000000000002
1180,Bob Evans,1950,1950,G,6-2,175.0,1.8796000000000002
1181,Brian Evans,1997,1999,F,6-8,220.0,2.032
1182,Earl Evans,1980,1980,F,6-8,202.0,2.032
1183,Jawun Evans,2018,2018,G,6-0,185.0,1.8288000000000002
1184,Jeremy Evans,2011,2016,F,6-9,200.0,2.0574000000000003
1185,Maurice Evans,2002,2012,G,6-5,220.0,1.9558000000000002
1186,Mike Evans,1980,1988,G,6-1,170.0,1.8542000000000003
1187,Reggie Evans,2003,2015,F,6-8,245.0,2.032
1188,Tyreke Evans,2010,2018,G,6-6,220.0,1.9812000000000003
1189,Daniel Ewing,2006,2007,G,6-3,185.0,1.9050000000000002
1190,Patrick Ewing,1986,2002,C,7-0,240.0,2.1336
1191,Patrick Ewing,2011,2011,F,6-8,235.0,2.032
1192,Dante Exum,2015,2017,G,6-6,190.0,1.9812000000000003
1193,Christian Eyenga,2011,2012,F,6-5,210.0,1.9558000000000002
1194,Festus Ezeli,2013,2016,C,6-11,255.0,2.1082
1195,Johnny Ezersky,1948,1950,F,6-3,175.0,1.9050000000000002
1196,Joe Fabel,1947,1947,F,6-1,190.0,1.8542000000000003
1197,John Fairchild,1966,1970,F,6-8,205.0,2.032
1198,Phil Farbman,1949,1949,F,6-1,185.0,1.8542000000000003
1199,Kenneth Faried,2012,2018,F,6-8,228.0,2.032
1200,Dick Farley,1955,1959,G,6-4,190.0,1.9304000000000001
1201,Jordan Farmar,2007,2017,G,6-2,180.0,1.8796000000000002
1202,Desmon Farmer,2007,2009,G,6-5,220.0,1.9558000000000002
1203,Jim Farmer,1988,1994,G,6-4,190.0,1.9304000000000001
1204,Mike Farmer,1959,1966,F,6-7,210.0,2.0066
1205,Tony Farmer,1998,2000,F,6-9,244.0,2.0574000000000003
1206,Bob Faught,1947,1947,F,6-5,185.0,1.9558000000000002
1207,Vitor Faverani,2014,2014,C,6-11,260.0,2.1082
1208,Derrick Favors,2011,2018,F,6-10,265.0,2.0828
1209,Nick Fazekas,2008,2008,F,6-11,235.0,2.1082
1210,Dave Fedor,1963,1963,F,6-6,190.0,1.9812000000000003
1211,Bob Feerick,1947,1950,F,6-3,190.0,1.9050000000000002
1212,Butch Feher,1977,1977,G,6-4,185.0,1.9304000000000001
1213,Jamie Feick,1997,2001,C,6-9,255.0,2.0574000000000003
1214,Ron Feiereisel,1956,1956,G,6-3,185.0,1.9050000000000002
1215,George Feigenbaum,1950,1953,G,6-1,185.0,1.8542000000000003
1216,Dave Feitl,1987,1992,C,6-11,235.0,2.1082
1217,Kay Felder,2017,2018,G,5-9,176.0,1.7526
1218,Cristiano Felicio,2016,2018,F,6-10,275.0,2.0828
1219,Carrick Felix,2014,2014,G,6-6,201.0,1.9812000000000003
1220,Noel Felix,2006,2006,F,6-9,225.0,2.0574000000000003
1221,Ray Felix,1954,1962,C,6-11,220.0,2.1082
1222,Raymond Felton,2006,2018,G,6-1,205.0,1.8542000000000003
1223,Jake Fendley,1952,1953,G,6-0,180.0,1.8288000000000002
1224,Warren Fenley,1947,1947,F,6-3,190.0,1.9050000000000002
1225,Desmond Ferguson,2004,2004,G,6-7,203.0,2.0066
1226,Terrance Ferguson,2018,2018,G,6-7,184.0,2.0066
1227,Rudy Fernandez,2009,2012,G,6-6,185.0,1.9812000000000003
1228,Eric Fernsten,1976,1984,C,6-10,205.0,2.0828
1229,Al Ferrari,1956,1963,G,6-4,190.0,1.9304000000000001
1230,Rolando Ferreira,1989,1989,C,7-1,240.0,2.159
1231,Duane Ferrell,1989,1999,F,6-7,209.0,2.0066
1232,Yogi Ferrell,2017,2018,G,6-0,180.0,1.8288000000000002
1233,Arnie Ferrin,1949,1951,F,6-2,180.0,1.8796000000000002
1234,Bob Ferry,1960,1969,C,6-8,230.0,2.032
1235,Danny Ferry,1991,2003,F,6-10,230.0,2.0828
1236,Kyrylo Fesenko,2008,2012,C,7-1,288.0,2.159
1237,Bobby Fields,1972,1972,G,6-3,175.0,1.9050000000000002
1238,Kenny Fields,1985,1988,F,6-5,220.0,1.9558000000000002
1239,Landry Fields,2011,2015,F,6-7,210.0,2.0066
1240,Ron Filipek,1968,1968,F,6-5,205.0,1.9558000000000002
1241,Greg Fillmore,1971,1972,C,7-1,240.0,2.159
1242,Larry Finch,1974,1975,G,6-2,185.0,1.8796000000000002
1243,Hank Finkel,1967,1975,C,7-0,240.0,2.1336
1244,Michael Finley,1996,2010,G,6-7,215.0,2.0066
1245,Danny Finn,1953,1955,G,6-1,185.0,1.8542000000000003
1246,Dorian Finney-Smith,2017,2018,F,6-8,220.0,2.032
1247,Matt Fish,1995,1997,C,6-11,235.0,2.1082
1248,Derek Fisher,1997,2014,G,6-1,200.0,1.8542000000000003
1249,Richard Fisher,1972,1972,F,6-5,215.0,1.9558000000000002
1250,Gerald Fitch,2006,2006,G,6-3,188.0,1.9050000000000002
1251,Bob Fitzgerald,1947,1949,F,6-5,190.0,1.9558000000000002
